period,psp,total_volume_mn,approved_pct,declined_pct
2024-01,STATE BANK OF INDIA,1088.91,95.73,4.18
2024-01,TRI O TECH SOLUTIONS PRIVATE LIMITED,36.62,100.00,0.00
2024-01,BHIM,31.82,94.20,5.67
2024-01,KOTAK MAHINDRA BANK,28.42,100.00,0.00
2024-01,AIRTEL PAYMENTS BANK,14.13,93.67,6.22
2024-01,RBL Bank,6.46,96.06,3.81
2024-01,IDFC First Bank,5.77,99.21,0.78
2024-01,FEDERAL BANK,5.42,98.44,1.55
2024-01,INDIA POST PAYMENT BANK,4.69,99.98,0.02
2024-01,DEUTSCHE BANK CORP,3.87,100.00,0.00
2024-01,YES BANK LTD,4044.35,94.81,5.04
2024-01,PAYTM PAYMENTS BANK,3141.54,95.68,4.17
2024-01,AXIS BANK LTD.,1696.08,94.20,5.63
2024-01,ICICI BANK,1408.71,93.92,5.92
2024-01,STATE BANK OF INDIA,637.86,94.43,5.44
2024-01,HDFC BANK LTD,627.74,95.04,4.84
2024-01,FEDERAL BANK,231.87,96.82,3.04
2024-01,INDUSIND BANK,69.20,95.19,4.68
2024-01,RBL Bank,56.69,90.97,8.80
2024-01,COSMOS BANK,43.80,90.19,9.60
2024-01,KOTAK MAHINDRA BANK,28.77,95.25,4.61
2024-01,INDIAN BANK,29.15,92.06,7.72
2024-01,CANARA BANK,27.55,96.63,3.26
2024-01,AIRTEL PAYMENTS BANK,25.58,93.62,6.22
2024-01,TRI O TECH SOLUTIONS PRIVATE LIMITED,18.29,93.24,6.52
2023-12,YES BANK LTD,3445.89,94.66,5.22
2023-12,AXIS BANK LTD.,3095.94,94.93,4.95
2023-12,ICICI BANK,2325.23,94.83,5.04
2023-12,PAYTM PAYMENTS BANK,1542.33,93.87,6.00
2023-12,HDFC BANK LTD,1124.24,95.79,4.12
2023-12,STATE BANK OF INDIA,990.39,95.58,4.36
2023-12,TRI O TECH SOLUTIONS PRIVATE LIMITED,34.24,100.00,0.00
2023-12,KOTAK MAHINDRA BANK,26.48,100.00,0.00
2023-12,BHIM,25.74,94.40,5.47
2023-12,AIRTEL PAYMENTS BANK,13.24,92.57,7.35
2023-12,FEDERAL BANK,6.07,98.09,1.86
2023-12,IDFC First Bank,5.61,99.21,0.78
2023-12,INDIA POST PAYMENT BANK,4.88,99.96,0.04
2023-12,RBL Bank,4.52,95.38,4.50
2023-12,DEUTSCHE BANK CORP,3.68,100.00,0.00
2023-12,YES BANK LTD,4038.99,94.86,5.02
2023-12,PAYTM PAYMENTS BANK,3120.84,95.72,4.17
2023-12,AXIS BANK LTD.,1671.49,94.41,5.46
2023-12,ICICI BANK,1444.29,93.91,5.97
2023-12,HDFC BANK LTD,683.37,94.91,5.00
2023-12,STATE BANK OF INDIA,628.41,94.75,5.16
2023-12,FEDERAL BANK,222.45,96.80,3.09
2023-12,INDUSIND BANK,75.01,94.03,5.83
2023-12,RBL Bank,49.91,89.74,10.06
2023-12,COSMOS BANK,35.39,87.08,12.69
2023-12,KOTAK MAHINDRA BANK,26.91,95.30,4.60
2023-12,INDIAN BANK,26.59,92.33,7.47
2023-12,CANARA BANK,25.32,96.69,3.23
2023-12,IDFC First Bank,23.60,92.35,7.51
2023-12,AIRTEL PAYMENTS BANK,22.10,92.68,7.20
2023-11,YES BANK LTD,3511.25,94.97,4.95
2023-11,AXIS BANK LTD.,2610.39,95.16,4.75
2023-11,ICICI BANK,2077.75,95.12,4.79
2023-11,PAYTM PAYMENTS BANK,1451.32,94.11,5.80
2023-11,HDFC BANK LTD,1044.71,96.04,3.89
2023-11,STATE BANK OF INDIA,983.74,95.70,4.26
2023-11,TRI O TECH SOLUTIONS PRIVATE LIMITED,28.43,100.00,0.00
2023-11,KOTAK MAHINDRA BANK,23.97,100.00,0.00
2023-11,BHIM,24.75,94.88,5.02
2023-11,AIRTEL PAYMENTS BANK,11.95,92.59,7.35
2023-11,FEDERAL BANK,5.61,98.19,1.79
2023-11,INDIA POST PAYMENT BANK,5.27,99.98,0.02
2023-11,IDFC FIRST Bank,5.21,98.99,1.00
2023-11,STANDARD CHARTERED,4.39,100.00,0.00
2023-11,RBL Bank Ltd,4.07,95.85,4.09
2023-11,Yes Bank Ltd,3895.63,95.06,4.86
2023-11,PayTM Payments Bank Ltd,2876.53,95.86,4.06
2023-11,Axis Bank Ltd,1473.31,94.65,5.26
2023-11,ICICI Bank,1367.32,94.30,5.62
2023-11,HDFC Bank Ltd,628.18,95.16,4.77
2023-11,State Bank Of India,580.84,95.02,4.91
2023-11,Federal Bank,199.54,96.90,3.04
2023-11,INDIAN Bank,76.60,93.91,5.98
2023-11,RBL Bank,39.40,91.86,8.00
2023-11,Kotak Mahindra Bank,28.13,95.06,4.83
2023-11,IDFC FIRST Bank,26.61,92.29,7.54
2023-11,Cosmos Bank,24.88,90.84,8.96
2023-11,Canara Bank,22.04,96.69,3.25
2023-11,Indian Bank,21.35,92.91,6.95
2023-11,Airtel Payments Bank,20.10,91.92,7.96
2023-10,Yes Bank Ltd,3691.75,98.95,1.04
2023-10,Axis Bank Ltd,2269.64,98.96,1.03
2023-10,ICICI Bank,2151.88,99.02,0.98
2023-10,Paytm Payments Bank,1439.34,98.79,1.21
2023-10,HDFC Bank Ltd,1029.19,99.05,0.95
2023-10,State Bank Of India,815.90,98.45,1.55
2023-10,Fampay (PPI),27.98,98.46,1.54
2023-10,BHIM,27.00,95.32,4.67
2023-10,Kotak Mahindra Bank,24.19,98.52,1.47
2023-10,Airtel Payments Bank,11.53,98.13,1.81
2023-10,Standard Chartered,7.03,99.87,0.13
2023-10,Federal Bank,6.00,98.13,1.87
2023-10,India Post Payment Bank,5.62,98.67,1.31
2023-10,IDFC FIRST Bank,5.55,98.14,1.86
2023-10,RBL Bank,3.70,98.53,1.46
2023-10,Yes Bank Ltd,3874.42,99.74,0.25
2023-10,Paytm Payments Bank,2868.53,99.60,0.39
2023-10,ICICI Bank,1324.05,99.36,0.61
2023-10,Axis Bank Ltd,1274.76,99.56,0.40
2023-10,HDFC Bank Ltd,644.52,99.37,0.62
2023-10,State Bank Of India,498.49,99.21,0.69
2023-10,Federal Bank,208.16,95.46,4.54
2023-10,IndusInd Bank,69.70,98.31,0.88
2023-10,Kotak Mahindra Bank,40.33,99.36,0.51
2023-10,IDFC FIRST Bank,26.91,99.26,0.46
2023-10,RBL Bank,22.18,96.42,2.94
2023-10,Indian Bank,21.13,99.45,0.51
2023-10,Canara Bank,19.83,96.88,3.07
2023-10,Airtel Payments Bank,19.09,99.49,0.13
2023-10,Cosmos Bank,16.44,98.00,1.73
2023-09,Yes Bank Ltd,3454.56,98.37,1.61
2023-09,Axis Bank Ltd,2052.67,98.49,1.49
2023-09,ICICI Bank,1889.52,98.30,1.68
2023-09,Paytm Payments Bank,1353.31,98.49,1.49
2023-09,HDFC Bank Ltd,901.08,98.40,1.57
2023-09,State Bank Of India,889.49,98.86,1.12
2023-09,BHIM,25.28,91.38,8.58
2023-09,Fampay (PPI),23.20,96.59,3.41
2023-09,Kotak Mahindra Bank,21.92,95.48,4.35
2023-09,Airtel Payments Bank,10.66,94.93,5.06
2023-09,Federal Bank,5.63,97.16,2.82
2023-09,India Post Payment Bank,5.35,93.65,6.31
2023-09,IDFC FIRST Bank,4.67,95.37,4.03
2023-09,RBL Bank,2.71,99.95,0.05
2023-09,Standard Chartered,2.04,98.55,1.43
2023-09,Yes Bank Ltd,3576.59,99.77,0.22
2023-09,Paytm Payments Bank,2642.59,99.53,0.45
2023-09,ICICI Bank,1226.53,99.53,0.44
2023-09,Axis Bank Ltd,1164.83,99.53,0.45
2023-09,HDFC Bank Ltd,581.25,99.09,0.79
2023-09,State Bank Of India,498.93,99.38,0.56
2023-09,Federal Bank,184.36,98.31,1.69
2023-09,IndusInd Bank,51.09,97.45,1.93
2023-09,Kotak Mahindra Bank,35.54,99.49,0.43
2023-09,IDFC FIRST Bank,33.96,98.99,0.62
2023-09,Indian Bank,20.95,97.78,1.46
2023-09,Fino Payments Bank,18.20,99.70,0.17
2023-09,Canara Bank,16.64,99.70,0.28
2023-09,RBL Bank,16.57,96.56,2.83
2023-09,Cosmos Bank,15.53,97.35,1.92
2023-08,Yes Bank Ltd,3548.89,98.62,1.38
2023-08,Axis Bank Ltd,1984.84,98.49,1.51
2023-08,ICICI Bank,1834.95,98.57,1.43
2023-08,Paytm Payments Bank,1386.27,98.50,1.49
2023-08,State Bank Of India,985.73,98.40,1.60
2023-08,HDFC Bank Ltd,885.37,98.59,1.41
2023-08,BHIM,26.23,93.82,6.16
2023-08,Kotak Mahindra Bank,21.56,98.18,1.82
2023-08,Fampay (PPI),20.57,98.54,1.45
2023-08,Airtel Payments Bank,10.46,97.53,2.42
2023-08,Federal Bank,5.82,98.06,1.93
2023-08,India Post Payment Bank,5.64,98.45,1.55
2023-08,IDFC FIRST Bank,4.66,97.92,2.07
2023-08,Standard Chartered,3.60,99.78,0.22
2023-08,RBL Bank,2.45,98.32,1.67
2023-08,Yes Bank Ltd,3608.70,99.67,0.32
2023-08,Paytm Payments Bank,2657.59,99.66,0.33
2023-08,ICICI Bank,1215.47,99.41,0.58
2023-08,Axis Bank Ltd,1146.11,99.33,0.61
2023-08,HDFC Bank Ltd,599.32,99.03,0.79
2023-08,State Bank Of India,497.09,99.39,0.53
2023-08,Federal Bank,181.99,97.48,2.04
2023-08,IndusInd Bank,52.28,94.70,3.90
2023-08,Kotak Mahindra Bank,35.56,99.04,0.59
2023-08,IDFC FIRST Bank,30.81,99.12,0.59
2023-08,Indian Bank,24.28,99.61,0.27
2023-08,Fino Payments Bank,16.15,99.60,0.34
2023-08,Canara Bank,15.27,99.66,0.31
2023-08,Airtel Payments Bank,14.99,99.38,0.12
2023-08,Cosmos Bank,14.61,97.14,2.14
2023-07,Yes Bank Ltd,3475.05,98.47,1.53
2023-07,Axis Bank Ltd,1814.41,98.32,1.67
2023-07,ICICI Bank,1642.83,98.43,1.57
2023-07,Paytm Payments Bank,1302.04,98.38,1.62
2023-07,State Bank Of India,967.58,98.13,1.87
2023-07,HDFC Bank Ltd,815.96,98.49,1.50
2023-07,BHIM,26.31,94.78,5.20
2023-07,Kotak Mahindra Bank,19.02,97.58,2.40
2023-07,Fampay (PPI),17.07,98.34,1.66
2023-07,Airtel Payments Bank,9.93,97.20,2.74
2023-07,India Post Payment Bank,5.53,98.21,1.79
2023-07,Federal Bank,5.32,97.55,2.44
2023-07,IDFC FIRST Bank,4.49,97.19,2.77
2023-07,Standard Chartered,4.15,99.79,0.21
2023-07,RBL Bank,2.40,97.99,2.00
2023-07,Yes Bank Ltd,3432.56,99.66,0.30
2023-07,Paytm Payments Bank,2469.97,99.61,0.37
2023-07,ICICI Bank,1169.26,99.48,0.47
2023-07,Axis Bank Ltd,1063.59,99.45,0.52
2023-07,HDFC Bank Ltd,552.11,99.25,0.67
2023-07,State Bank Of India,473.74,99.32,0.60
2023-07,Federal Bank,166.71,98.48,1.32
2023-07,IndusInd Bank,49.09,98.74,0.74
2023-07,Kotak Mahindra Bank,32.00,99.14,0.51
2023-07,IDFC FIRST Bank,25.61,95.01,2.32
2023-07,Indian Bank,18.40,98.17,1.58
2023-07,Airtel Payments Bank,15.20,98.46,0.49
2023-07,Canara Bank,14.88,99.05,0.81
2023-07,Cosmos Bank,14.21,94.80,5.00
2023-07,Fino Payments Bank,12.36,97.74,1.82
2023-06,Yes Bank Ltd,3318.70,98.64,0.04
2023-06,Axis Bank Ltd,1657.48,98.48,0.01
2023-06,ICICI Bank,1416.23,98.58,0.01
2023-06,Paytm Payments Bank,1219.59,98.34,0.00
2023-06,State Bank Of India,1013.07,98.56,0.00
2023-06,HDFC Bank Ltd,747.72,98.03,0.02
2023-06,Kotak Mahindra Bank,17.76,97.88,0.00
2023-06,Fampay (PPI),15.23,98.40,0.00
2023-06,Airtel Payments Bank,9.08,97.36,0.04
2023-06,IDFC FIRST Bank,6.53,98.37,0.01
2023-06,Federal Bank,4.98,97.55,0.08
2023-06,India Post Payment Bank,4.92,98.15,0.01
2023-06,RBL Bank,2.17,98.35,0.01
2023-06,Deutsche Bank,1.81,99.93,0.00
2023-06,Canara Bank,1.66,94.75,0.01
2023-06,Yes Bank Ltd,3265.06,99.75,0.23
2023-06,Paytm Payments Bank,2305.56,99.60,0.37
2023-06,Axis Bank Ltd,1096.89,99.42,0.55
2023-06,ICICI Bank,1029.20,99.07,0.89
2023-06,HDFC Bank Ltd,468.94,99.14,0.82
2023-06,State Bank Of India,426.62,99.51,0.45
2023-06,Federal Bank,157.65,95.80,3.46
2023-06,IndusInd Bank,50.30,98.49,0.79
2023-06,Kotak Mahindra Bank,29.50,99.40,0.36
2023-06,Cosmos Bank,22.42,93.25,6.34
2023-06,IDFC FIRST Bank,21.66,84.43,6.84
2023-06,Airtel Payments Bank,15.90,98.11,1.10
2023-06,Canara Bank,10.97,98.90,0.89
2023-06,Indian Bank,10.35,96.83,2.72
2023-06,Citibank,9.80,99.18,0.71
2023-05,Yes Bank Ltd,3322.19,98.77,1.22
2023-05,ICICI Bank,1732.56,98.78,1.21
2023-05,Axis Bank Ltd,1340.63,98.51,1.48
2023-05,Paytm Payments Bank,1257.01,98.16,1.83
2023-05,State Bank Of India,1019.30,98.72,1.27
2023-05,HDFC Bank Ltd,773.58,98.74,1.26
2023-05,Kotak Mahindra Bank,16.61,98.15,1.85
2023-05,Fampay (PPI),13.98,98.55,1.45
2023-05,Airtel Payments Bank,9.40,97.47,2.51
2023-05,IDFC FIRST Bank,8.71,98.76,1.24
2023-05,Federal Bank,5.35,95.86,2.03
2023-05,India Post Payment Bank,5.11,98.48,1.51
2023-05,RBL Bank,2.12,98.56,1.44
2023-05,Deutsche Bank,1.89,99.94,0.06
2023-05,Jio Payments Bank,1.63,95.92,3.70
2023-05,Yes Bank Ltd,3328.92,99.80,0.18
2023-05,Paytm Payments Bank,2250.43,99.73,0.26
2023-05,Axis Bank Ltd,1169.78,99.41,0.57
2023-05,ICICI Bank,1053.11,99.23,0.68
2023-05,HDFC Bank Ltd,439.53,99.27,0.69
2023-05,State Bank Of India,398.39,99.45,0.49
2023-05,Federal Bank,154.48,98.81,1.00
2023-05,IndusInd Bank,47.25,98.23,0.88
2023-05,Kotak Mahindra Bank,40.28,99.32,0.55
2023-05,Cosmos Bank,24.05,95.12,4.51
2023-05,RBL Bank,28.27,99.66,0.33
2023-05,Airtel Payments Bank,18.61,97.38,2.20
2023-05,IDFC FIRST Bank,17.88,96.85,2.02
2023-05,Citibank,9.97,99.25,0.71
2023-05,Canara Bank,9.55,99.37,0.57
2023-04,Yes Bank Ltd,3144.79,98.73,1.27
2023-04,ICICI Bank,1460.93,98.80,1.20
2023-04,Axis Bank Ltd,1443.01,98.63,1.37
2023-04,Paytm Payments Bank,1210.88,98.58,1.40
2023-04,State Bank Of India,939.75,98.80,1.19
2023-04,HDFC Bank Ltd,715.30,98.84,1.16
2023-04,Kotak Mahindra Bank,14.24,98.15,1.85
2023-04,IDFC FIRST Bank,12.84,99.06,0.94
2023-04,FamPay PPI,11.99,98.21,1.79
2023-04,Airtel Payments Bank,9.41,96.07,3.89
2023-04,India Post Payment Bank,5.32,98.47,1.53
2023-04,Federal Bank,5.30,98.08,1.92
2023-04,RBL Bank,2.42,98.79,1.21
2023-04,Deutsche Bank,1.65,99.95,0.05
2023-04,Jio Payments Bank,1.56,95.10,4.22
2023-04,Yes Bank Ltd,3179.83,99.75,0.21
2023-04,Paytm Payments Bank,2097.58,99.44,0.26
2023-04,Axis Bank Ltd,1109.13,99.28,0.68
2023-04,ICICI Bank,1003.20,99.48,0.47
2023-04,HDFC Bank Ltd,407.42,99.13,0.82
2023-04,State Bank Of India,379.74,99.25,0.48
2023-04,Federal Bank,143.53,98.63,1.07
2023-04,IndusInd Bank,43.48,97.73,1.27
2023-04,Kotak Mahindra Bank,40.35,99.56,0.32
2023-04,RBL Bank,30.12,99.68,0.21
2023-04,Cosmos Bank,21.91,97.60,2.36
2023-04,Airtel Payments Bank,19.93,98.83,0.64
2023-04,IDFC FIRST Bank,18.84,95.43,2.32
2023-04,Citibank,13.13,94.90,3.14
2023-04,Bank of Baroda,8.50,87.11,0.38
2023-03,Yes Bank Ltd,3027.01,98.69,1.30
2023-03,Axis Bank Ltd,1563.99,98.72,1.28
2023-03,ICICI Bank,1331.47,98.77,1.23
2023-03,Paytm Payments Bank,1199.41,98.64,1.35
2023-03,State Bank Of India,941.76,98.76,1.24
2023-03,HDFC Bank Ltd,635.41,98.80,1.20
2023-03,IDFC FIRST Bank,14.40,98.21,1.78
2023-03,Kotak Mahindra Bank,14.04,98.09,1.90
2023-03,Airtel Payments Bank,11.07,96.25,3.70
2023-03,Federal Bank,5.40,98.09,1.89
2023-03,India Post Payment Bank,4.52,98.28,1.72
2023-03,RBL Bank,2.53,98.81,1.19
2023-03,Jio Payments Bank,1.76,95.74,3.71
2023-03,Deutsche Bank,1.73,99.94,0.06
2023-03,Canara Bank,1.45,95.54,4.45
2023-03,Yes Bank Ltd,3113.51,99.31,0.59
2023-03,Paytm Payments Bank,2027.97,99.59,0.38
2023-03,Axis Bank Ltd,1055.15,99.18,0.77
2023-03,ICICI Bank,1012.61,99.25,0.71
2023-03,HDFC Bank Ltd,406.61,99.04,0.94
2023-03,State Bank Of India,393.82,99.21,0.67
2023-03,Federal Bank,139.72,97.09,2.39
2023-03,IndusInd Bank,44.06,98.15,1.42
2023-03,Kotak Mahindra Bank,33.89,98.96,0.68
2023-03,Cosmos Bank,25.21,97.39,2.41
2023-03,Airtel Payments Bank,20.64,98.72,0.39
2023-03,IDFC FIRST Bank,17.16,89.33,8.06
2023-03,Citibank,14.03,99.07,0.77
2023-03,Bank of Baroda,8.58,87.79,0.34
2023-03,Canara Bank,8.03,99.61,0.35
2023-02,Yes Bank Ltd,2647.71,98.19,1.56
2023-02,Axis Bank Ltd,1406.78,98.26,1.53
2023-02,ICICI Bank,1195.11,98.31,1.46
2023-02,Paytm Payments Bank,1058.33,98.17,1.59
2023-02,State Bank Of India,672.74,98.17,1.59
2023-02,HDFC Bank Ltd,596.39,98.47,1.33
2023-02,IDFC FIRST Bank,23.00,97.51,2.47
2023-02,Kotak Mahindra Bank,12.37,97.76,2.24
2023-02,Airtel Payments Bank,9.11,95.63,4.26
2023-02,Federal Bank,4.92,97.44,2.40
2023-02,India Post Payment Bank,4.14,97.76,2.22
2023-02,RBL Bank,2.29,98.88,1.07
2023-02,Jio Payments Bank,1.58,94.85,4.50
2023-02,Deutsche Bank,1.32,99.94,0.06
2023-02,Bank of Baroda,1.28,89.14,10.52
2023-02,Yes Bank Ltd,2728.98,99.45,0.54
2023-02,Paytm Payments Bank,1734.74,99.56,0.43
2023-02,Axis Bank Ltd,915.58,98.99,1.00
2023-02,ICICI Bank,882.18,99.55,0.43
2023-02,HDFC Bank Ltd,351.19,98.99,0.99
2023-02,State Bank Of India,333.55,98.94,0.86
2023-02,Federal Bank,115.80,97.62,1.94
2023-02,IndusInd Bank,34.53,98.29,1.58
2023-02,Kotak Mahindra Bank,28.51,99.17,0.82
2023-02,IDFC FIRST Bank,22.78,89.05,10.24
2023-02,Airtel Payments Bank,21.85,97.65,1.39
2023-02,Cosmos Bank,21.77,77.80,19.86
2023-02,Citibank,11.24,98.68,1.00
2023-02,Bank of Baroda,7.51,86.93,12.49
2023-02,Canara Bank,6.68,99.19,0.79
2023-01,Yes Bank Ltd,2824.37,98.58,1.41
2023-01,Axis Bank Ltd,1479.23,98.59,1.40
2023-01,ICICI Bank,1252.34,98.66,1.30
2023-01,Paytm Payments Bank,1100.84,98.56,1.43
2023-01,State Bank Of India,710.82,98.41,1.57
2023-01,HDFC Bank Ltd,686.19,98.93,1.06
2023-01,IDFC FIRST Bank,24.84,98.21,1.78
2023-01,Kotak Mahindra Bank,12.41,97.80,2.19
2023-01,Airtel Payments Bank,10.12,96.48,3.48
2023-01,India Post Payment Bank,5.53,98.15,1.84
2023-01,Federal Bank,4.88,97.60,2.35
2023-01,RBL Bank,1.85,98.56,1.44
2023-01,Jio Payments Bank,1.67,95.20,4.47
2023-01,Deutsche Bank,1.32,99.94,0.06
2023-01,Bank of Baroda,1.22,90.02,9.97
2023-01,Yes Bank Ltd,2932.04,99.58,0.38
2023-01,Paytm Payments Bank,1822.61,99.76,0.23
2023-01,Axis Bank Ltd,973.07,99.12,0.79
2023-01,ICICI Bank,920.02,99.06,0.92
2023-01,HDFC Bank Ltd,377.04,99.14,0.85
2023-01,State Bank Of India,372.77,99.08,0.78
2023-01,Federal Bank,119.24,99.75,0.23
2023-01,IndusInd Bank,33.06,97.45,1.53
2023-01,Kotak Mahindra Bank,30.26,99.06,0.78
2023-01,Airtel Payments Bank,27.65,97.58,1.53
2023-01,IDFC FIRST Bank,21.55,97.12,1.82
2023-01,Cosmos Bank,15.89,93.33,5.09
2023-01,Citibank,12.49,98.76,0.92
2023-01,Bank of Baroda,7.17,98.48,1.13
2023-01,Canara Bank,6.84,99.33,0.58
