period,band,mcc,description,volume_mn,value_cr
2024-09,Medium Transacting Categories,6211,Securities brokers and dealers,66.47,57662.80
2024-09,Medium Transacting Categories,7622,Electronics repair shops,64.39,1953.20
2024-09,All Other Categories,5732,Electronics shops,62.21,7937.08
2024-09,All Other Categories,9399,Government services not elsewhere classified,61.08,6307.81
2024-09,All Other Categories,7230,Beauty and barber shops,60.41,1706.80
2024-09,All Other Categories,5137,"Mens, womens and childrens uniforms and commercial clothing",59.16,5181.19
2024-09,All Other Categories,4112,Passenger railways,58.99,3063.22
2024-09,All Other Categories,5331,Variety stores,51.42,2669.84
2024-09,All Other Categories,5691,Mens and womens clothing shops,50.68,6384.23
2024-09,All Other Categories,4121,Taxi-cabs and limousines,50.04,1066.90
2024-09,All Other Categories,7011,"Lodging hotels, motels and resorts",43.00,3149.55
2024-08,High Transacting Categories,5411,Groceries and supermarkets,2092.74,48087.96
2024-08,High Transacting Categories,5814,Fast food restaurants,978.45,11828.04
2024-08,High Transacting Categories,5812,Eating places and restaurants,876.87,14335.67
2024-08,High Transacting Categories,4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",789.16,17227.51
2024-08,High Transacting Categories,5541,Service stations (with or without ancillary services),465.56,26071.81
2024-08,High Transacting Categories,5816,Digital Goods: Games,303.43,11615.28
2024-08,High Transacting Categories,5912,Drug stores and pharmacies,233.63,8988.46
2024-08,High Transacting Categories,5462,Bakeries,210.41,3040.91
2024-08,High Transacting Categories,5311,Department stores,193.63,4280.34
2024-08,High Transacting Categories,4900,"Utilities electric, gas, water and sanitary",157.55,19755.59
2024-08,Medium Transacting Categories,5451,Dairies,134.37,3397.57
2024-08,Medium Transacting Categories,7322,Debt collection agencies,104.67,69345.64
2024-08,Medium Transacting Categories,5813,"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",85.81,3211.66
2024-08,Medium Transacting Categories,5441,"Candy, nut and confectionery shops",83.68,1570.31
2024-08,Medium Transacting Categories,5993,Cigar shops and stands,70.30,519.06
2024-08,Medium Transacting Categories,5921,"Package shops beer, wine and liquor",70.28,2943.19
2024-08,Medium Transacting Categories,6211,Securities brokers and dealers,66.98,58716.46
2024-08,Medium Transacting Categories,7622,Electronics repair shops,65.57,2006.51
2024-08,Medium Transacting Categories,5422,Freezer and locker meat provisioners,65.01,2025.67
2024-08,Medium Transacting Categories,5732,Electronics shops,63.30,7990.94
2024-08,All Other Categories,5137,"Mens, womens and childrens uniforms and commercial clothing",61.97,5433.08
2024-08,All Other Categories,5262,Online Marketplaces,60.20,5060.58
2024-08,All Other Categories,7230,Beauty and barber shops,59.38,1766.33
2024-08,All Other Categories,9399,Government services not elsewhere classified,58.92,6273.05
2024-08,All Other Categories,4112,Passenger railways,58.74,3164.91
2024-08,All Other Categories,5331,Variety stores,49.52,2570.90
2024-08,All Other Categories,5691,Mens and womens clothing shops,47.59,5806.14
2024-08,All Other Categories,4121,Taxi-cabs and limousines,47.25,1041.79
2024-08,All Other Categories,7011,"Lodging hotels, motels and resorts",42.02,3110.02
2024-07,High Transacting Categories,5411,Groceries and supermarkets,1957.33,45998.27
2024-07,High Transacting Categories,5814,Fast food restaurants,927.39,11237.77
2024-07,High Transacting Categories,5812,Eating places and restaurants,816.06,13050.80
2024-07,High Transacting Categories,4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",769.28,17373.49
2024-07,High Transacting Categories,5541,Service stations (with or without ancillary services),447.69,26389.25
2024-07,High Transacting Categories,5816,Digital Goods: Games,363.28,13693.28
2024-07,High Transacting Categories,5912,Drug stores and pharmacies,215.93,8380.91
2024-07,High Transacting Categories,5462,Bakeries,196.34,2776.43
2024-07,High Transacting Categories,5311,Department stores,181.52,3941.66
2024-07,High Transacting Categories,4900,"Utilities electric, gas, water and sanitary",152.03,20875.43
2024-07,Medium Transacting Categories,5451,Dairies,126.64,2996.73
2024-07,Medium Transacting Categories,7322,Debt collection agencies,106.87,76285.03
2024-07,Medium Transacting Categories,5813,"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",84.36,3167.07
2024-07,Medium Transacting Categories,5441,"Candy, nut and confectionery shops",76.69,1328.03
2024-07,Medium Transacting Categories,6211,Securities brokers and dealers,70.83,73841.65
2024-07,Medium Transacting Categories,5422,Freezer and locker meat provisioners,69.27,2216.40
2024-07,Medium Transacting Categories,5921,"Package shops beer, wine and liquor",68.48,2843.87
2024-07,Medium Transacting Categories,5993,Cigar shops and stands,66.38,493.56
2024-07,Medium Transacting Categories,5262,Online Marketplaces,65.63,6326.63
2024-07,Medium Transacting Categories,7622,Electronics repair shops,64.70,2060.64
2024-07,All Other Categories,9399,Government services not elsewhere classified,61.21,8595.49
2024-07,All Other Categories,5732,Electronics shops,57.34,7664.93
2024-07,All Other Categories,7230,Beauty and barber shops,55.50,1644.13
2024-07,All Other Categories,5137,"Mens, womens and childrens uniforms and commercial clothing",54.34,4749.98
2024-07,All Other Categories,4112,Passenger railways,53.97,3343.85
2024-07,All Other Categories,5331,Variety stores,47.96,2572.62
2024-07,All Other Categories,4121,Taxi-cabs and limousines,44.65,985.09
2024-07,All Other Categories,5691,Mens and womens clothing shops,41.66,4898.23
2024-07,All Other Categories,4812,Telecommunication equipment and telephone sales,40.22,3222.98
2024-06,High Transacting Categories,5411,Groceries and supermarkets,1909.32,46060.73
2024-06,High Transacting Categories,5814,Fast food restaurants,896.28,11306.93
2024-06,High Transacting Categories,5812,Eating places and restaurants,786.33,13059.11
2024-06,High Transacting Categories,4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",749.31,15298.13
2024-06,High Transacting Categories,5541,Service stations (with or without ancillary services),427.70,26727.97
2024-06,High Transacting Categories,5816,Digital Goods: Games,352.07,12540.62
2024-06,High Transacting Categories,5912,Drug stores and pharmacies,190.91,7531.52
2024-06,High Transacting Categories,5462,Bakeries,189.54,2711.38
2024-06,High Transacting Categories,5311,Department stores,171.39,3964.18
2024-06,High Transacting Categories,4900,"Utilities electric, gas, water and sanitary",147.89,19381.05
2024-06,Medium Transacting Categories,5451,Dairies,127.97,2791.75
2024-06,Medium Transacting Categories,7322,Debt collection agencies,97.03,68244.64
2024-06,Medium Transacting Categories,5813,"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",84.09,3256.26
2024-06,Medium Transacting Categories,5441,"Candy, nut and confectionery shops",78.15,1306.73
2024-06,Medium Transacting Categories,5422,Freezer and locker meat provisioners,70.28,2385.38
2024-06,Medium Transacting Categories,5921,"Package shops beer, wine and liquor",67.38,2892.88
2024-06,Medium Transacting Categories,7622,Electronics repair shops,64.62,2111.92
2024-06,Medium Transacting Categories,5993,Cigar shops and stands,63.21,475.57
2024-06,Medium Transacting Categories,6211,Securities brokers and dealers,60.15,61064.27
2024-06,Medium Transacting Categories,5262,Online Marketplaces,57.23,5167.03
2024-06,All Other Categories,5137,"Mens, womens and childrens uniforms and commercial clothing",57.23,5063.20
2024-06,All Other Categories,5732,Electronics shops,55.52,8009.80
2024-06,All Other Categories,7230,Beauty and barber shops,54.63,1565.27
2024-06,All Other Categories,4112,Passenger railways,49.72,2955.02
2024-06,All Other Categories,9399,Government services not elsewhere classified,49.31,5653.35
2024-06,All Other Categories,5331,Variety stores,47.36,2649.79
2024-06,All Other Categories,4121,Taxi-cabs and limousines,42.09,994.54
2024-06,All Other Categories,6012,Financial institutions merchandise and services,41.31,17064.97
2024-06,All Other Categories,5691,Mens and womens clothing shops,40.97,4819.00
2024-05,High Transacting Categories,5411,Groceries and supermarkets,2023.71,47666.52
2024-05,High Transacting Categories,5814,Fast food restaurants,903.65,11510.31
2024-05,High Transacting Categories,5812,Eating places and restaurants,814.99,13900.27
2024-05,High Transacting Categories,4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",636.31,15212.72
2024-05,High Transacting Categories,5541,Service stations (with or without ancillary services),415.07,26596.96
2024-05,High Transacting Categories,5816,Digital Goods: Games,379.21,12727.25
2024-05,High Transacting Categories,5462,Bakeries,190.12,2711.74
2024-05,High Transacting Categories,5912,Drug stores and pharmacies,188.12,7569.49
2024-05,High Transacting Categories,5311,Department stores,174.11,4028.13
2024-05,High Transacting Categories,4900,"Utilities electric, gas, water and sanitary",133.70,15981.30
2024-05,Medium Transacting Categories,5451,Dairies,133.57,2890.45
2024-05,Medium Transacting Categories,7322,Debt collection agencies,95.29,66071.50
2024-05,Medium Transacting Categories,5813,"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",83.12,3270.98
2024-05,Medium Transacting Categories,5441,"Candy, nut and confectionery shops",80.56,1294.48
2024-05,Medium Transacting Categories,5422,Freezer and locker meat provisioners,67.11,2288.59
2024-05,Medium Transacting Categories,7622,Electronics repair shops,66.96,2213.79
2024-05,Medium Transacting Categories,4812,Telecommunication equipment and telephone sales,65.56,3716.29
2024-05,Medium Transacting Categories,5921,"Package shops beer, wine and liquor",64.47,2821.94
2024-05,Medium Transacting Categories,4899,Cable and other pay television services,63.80,1622.35
2024-05,Medium Transacting Categories,5993,Cigar shops and stands,62.57,471.70
2024-05,All Other Categories,5262,Online Marketplaces,58.37,5262.53
2024-05,All Other Categories,5732,Electronics shops,57.98,9123.39
2024-05,All Other Categories,5137,"Mens, womens and childrens uniforms and commercial clothing",55.43,5086.56
2024-05,All Other Categories,6211,Securities brokers and dealers,54.54,53248.50
2024-05,All Other Categories,7230,Beauty and barber shops,53.61,1570.15
2024-05,All Other Categories,9399,Government services not elsewhere classified,51.88,5532.61
2024-05,All Other Categories,4112,Passenger railways,49.23,2941.98
2024-05,All Other Categories,5331,Variety stores,45.74,2630.95
2024-05,All Other Categories,6012,Financial institutions merchandise and services,44.29,17618.46
2024-04,High Transacting Categories,5411,Groceries and supermarkets,1880.41,46114.78
2024-04,High Transacting Categories,5814,Fast food restaurants,814.23,10437.20
2024-04,High Transacting Categories,5812,Eating places and restaurants,730.27,11861.15
2024-04,High Transacting Categories,4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",659.26,15115.80
2024-04,High Transacting Categories,5816,Digital Goods: Games,464.10,12641.19
2024-04,High Transacting Categories,5541,Service stations (with or without ancillary services),391.99,24997.65
2024-04,High Transacting Categories,5912,Drug stores and pharmacies,179.10,6972.03
2024-04,High Transacting Categories,5462,Bakeries,175.43,2463.67
2024-04,High Transacting Categories,5311,Department stores,164.50,4077.42
2024-04,High Transacting Categories,5993,Cigar shops and stands,58.26,449.00
2024-04,Medium Transacting Categories,5451,Dairies,122.01,2712.32
2024-04,Medium Transacting Categories,4900,"Utilities electric, gas, water and sanitary",114.33,11861.27
2024-04,Medium Transacting Categories,7322,Debt collection agencies,88.05,64239.88
2024-04,Medium Transacting Categories,5813,"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",75.55,2939.38
2024-04,Medium Transacting Categories,5441,"Candy, nut and confectionery shops",73.39,1209.99
2024-04,Medium Transacting Categories,5921,"Package shops beer, wine and liquor",57.55,2424.71
2024-04,Medium Transacting Categories,5422,Freezer and locker meat provisioners,56.72,1969.32
2024-04,Medium Transacting Categories,9399,Government services not elsewhere classified,47.88,5626.48
2024-04,Medium Transacting Categories,5262,Online Marketplaces,47.45,4350.36
2024-04,Medium Transacting Categories,5412,Purchase of digital gold,20.92,550.12
2024-04,All Other Categories,7622,Electronics repair shops,62.98,2092.05
2024-04,All Other Categories,5137,"Mens, womens and childrens uniforms and commercial clothing",58.46,6115.12
2024-04,All Other Categories,5732,Electronics shops,52.66,8100.83
2024-04,All Other Categories,7230,Beauty and barber shops,51.03,1553.36
2024-04,All Other Categories,4112,Passenger railways,46.58,2682.00
2024-04,All Other Categories,5691,Mens and womens clothing shops,44.66,5810.00
2024-04,All Other Categories,5331,Variety stores,41.15,2435.99
2024-04,All Other Categories,5651,Family clothing shops,40.19,3611.32
2024-04,All Other Categories,4121,Taxi-cabs and limousines,29.49,765.41
2024-03,High Transacting Categories,5411,Groceries and supermarkets,1799.43,44040.04
2024-03,High Transacting Categories,5814,Fast food restaurants,820.41,10186.11
2024-03,High Transacting Categories,5812,Eating places and restaurants,737.41,12171.30
2024-03,High Transacting Categories,4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",673.68,16198.22
2024-03,High Transacting Categories,5541,Service stations (with or without ancillary services),388.32,24405.35
2024-03,High Transacting Categories,5816,Digital Goods: Games,364.59,11151.01
2024-03,High Transacting Categories,5311,Department stores,242.81,5527.52
2024-03,High Transacting Categories,5912,Drug stores and pharmacies,189.75,7254.61
2024-03,High Transacting Categories,5462,Bakeries,175.93,2490.28
2024-03,High Transacting Categories,4900,"Utilities electric, gas, water and sanitary",117.00,11084.55
2024-03,Medium Transacting Categories,5451,Dairies,116.55,2579.54
2024-03,Medium Transacting Categories,7322,Debt collection agencies,85.87,67179.02
2024-03,Medium Transacting Categories,5813,"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",84.06,3268.55
2024-03,Medium Transacting Categories,5441,"Candy, nut and confectionery shops",71.52,1237.81
2024-03,Medium Transacting Categories,7622,Electronics repair shops,66.17,2068.78
2024-03,Medium Transacting Categories,5422,Freezer and locker meat provisioners,64.88,2091.93
2024-03,Medium Transacting Categories,5921,"Package shops beer, wine and liquor",59.77,2554.26
2024-03,Medium Transacting Categories,5993,Cigar shops and stands,59.03,440.55
2024-03,Medium Transacting Categories,5137,"Mens, womens and childrens uniforms and commercial clothing",53.66,5576.78
2024-03,Medium Transacting Categories,5732,Electronics shops,53.12,6857.05
2024-03,All Other Categories,5399,Miscellaneous general merchandise,52.11,4601.65
2024-03,All Other Categories,7230,Beauty and barber shops,51.37,1506.84
2024-03,All Other Categories,6012,Financial institutions merchandise and services,50.65,18843.85
2024-03,All Other Categories,9399,Government services not elsewhere classified,49.59,6064.45
2024-03,All Other Categories,4112,Passenger railways,46.83,2642.35
2024-03,All Other Categories,6211,Securities brokers and dealers,45.58,38703.88
2024-03,All Other Categories,5331,Variety stores,41.03,2321.55
2024-03,All Other Categories,5691,Mens and womens clothing shops,40.58,5382.39
2024-03,All Other Categories,4812,Telecommunication equipment and telephone sales,40.46,2984.11
2024-02,High Transacting Categories,5411,Groceries and supermarkets,1440.35,36600.03
2024-02,High Transacting Categories,5814,Fast food restaurants,743.17,8939.06
2024-02,High Transacting Categories,5812,Eating places and restaurants,691.44,11156.54
2024-02,High Transacting Categories,4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",582.26,13423.86
2024-02,High Transacting Categories,5541,Service stations (with or without ancillary services),347.94,22160.43
2024-02,High Transacting Categories,5311,Department stores,330.55,7205.34
2024-02,High Transacting Categories,5816,Digital Goods: Games,259.61,9341.91
2024-02,High Transacting Categories,5912,Drug stores and pharmacies,180.55,6723.39
2024-02,High Transacting Categories,5462,Bakeries,156.75,2201.03
2024-02,High Transacting Categories,4900,"Utilities electric, gas, water and sanitary",109.52,10481.38
2024-02,Medium Transacting Categories,5451,Dairies,95.15,2200.87
2024-02,Medium Transacting Categories,6540,Debit card to wallet credit (Wallet top up),76.99,4618.70
2024-02,Medium Transacting Categories,5813,"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",76.15,2845.30
2024-02,Medium Transacting Categories,7322,Debt collection agencies,74.44,60929.84
2024-02,Medium Transacting Categories,7622,Electronics repair shops,63.30,1917.23
2024-02,Medium Transacting Categories,5441,"Candy, nut and confectionery shops",58.27,1050.99
2024-02,Medium Transacting Categories,5422,Freezer and locker meat provisioners,56.10,1768.20
2024-02,Medium Transacting Categories,6211,Securities brokers and dealers,54.73,50384.11
2024-02,Medium Transacting Categories,5993,Cigar shops and stands,52.14,383.97
2024-02,Medium Transacting Categories,5732,Electronics shops,49.44,5866.02
2024-02,All Other Categories,5921,"Package shops beer, wine and liquor",48.57,2030.94
2024-02,All Other Categories,7230,Beauty and barber shops,47.96,1466.61
2024-02,All Other Categories,5137,"Mens, womens and childrens uniforms and commercial clothing",47.93,4895.21
2024-02,All Other Categories,5399,Miscellaneous general merchandise,46.74,4422.29
2024-02,All Other Categories,9399,Government services not elsewhere classified,45.51,4940.90
2024-02,All Other Categories,6012,Financial institutions merchandise and services,42.44,16688.53
2024-02,All Other Categories,4112,Passenger railways,42.15,2370.86
2024-02,All Other Categories,4812,Telecommunication equipment and telephone sales,38.62,2791.45
2024-02,All Other Categories,5331,Variety stores,33.75,1952.01
2024-01,High Transacting Categories,5411,Groceries and supermarkets,1480.21,38445.30
2024-01,High Transacting Categories,5814,Fast food restaurants,701.14,8761.88
2024-01,High Transacting Categories,5812,Eating places and restaurants,694.81,11761.04
2024-01,High Transacting Categories,4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",613.87,14435.34
2024-01,High Transacting Categories,5541,Service stations (with or without ancillary services),337.69,21988.27
2024-01,High Transacting Categories,5311,Department stores,335.56,7136.98
2024-01,High Transacting Categories,5816,Digital Goods: Games,294.54,9634.28
2024-01,High Transacting Categories,5912,Drug stores and pharmacies,176.21,6648.95
2024-01,High Transacting Categories,5462,Bakeries,152.35,2220.59
2024-01,High Transacting Categories,4900,"Utilities electric, gas, water and sanitary",106.31,10140.11
2024-01,Medium Transacting Categories,5451,Dairies,88.70,2030.76
2024-01,Medium Transacting Categories,6540,Debit card to wallet credit (Wallet top up),85.79,5622.90
2024-01,Medium Transacting Categories,7299,Miscellaneous personal services not elsewhere classified,83.30,2677.88
2024-01,Medium Transacting Categories,5499,Miscellaneous food shops convenience and speciality retail outlets,78.96,3173.55
2024-01,Medium Transacting Categories,5813,"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",76.62,2903.74
2024-01,Medium Transacting Categories,7322,Debt collection agencies,74.28,60916.27
2024-01,Medium Transacting Categories,6211,Securities brokers and dealers,58.64,62812.48
2024-01,Medium Transacting Categories,5422,Freezer and locker meat provisioners,57.38,1808.70
2024-01,Medium Transacting Categories,5137,"Mens, womens and childrens uniforms and commercial clothing",56.59,5782.09
2024-01,Medium Transacting Categories,5441,"Candy, nut and confectionery shops",53.41,1010.06
2024-01,All Other Categories,5732,Electronics shops,50.02,5711.27
2024-01,All Other Categories,6012,Financial institutions merchandise and services,49.76,16448.32
2024-01,All Other Categories,9399,Government services not elsewhere classified,46.84,5162.98
2024-01,All Other Categories,7230,Beauty and barber shops,44.87,1343.90
2024-01,All Other Categories,5399,Miscellaneous general merchandise,43.43,4228.39
2024-01,All Other Categories,5921,"Package shops beer, wine and liquor",43.28,1853.47
2024-01,All Other Categories,4112,Passenger railways,37.13,2126.07
2024-01,All Other Categories,5691,Mens and womens clothing shops,34.84,4380.93
2024-01,All Other Categories,5943,"Stationery, office and school supply shops",34.24,942.15
2023-12,High Transacting Categories,5411,Groceries and supermarkets,1424.63,37752.00
2023-12,High Transacting Categories,5812,Eating places and restaurants,698.13,12030.42
2023-12,High Transacting Categories,5814,Fast food restaurants,653.35,8127.68
2023-12,High Transacting Categories,4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",600.93,14268.65
2023-12,High Transacting Categories,5541,Service stations (with or without ancillary services),344.29,22251.43
2023-12,High Transacting Categories,5311,Department stores,326.53,7046.58
2023-12,High Transacting Categories,5816,Digital Goods: Games,287.00,9193.30
2023-12,High Transacting Categories,5912,Drug stores and pharmacies,177.32,6703.23
2023-12,High Transacting Categories,5462,Bakeries,154.90,2385.90
2023-12,High Transacting Categories,4900,"Utilities electric, gas, water and sanitary",96.24,10077.12
2023-12,Medium Transacting Categories,6540,Debit card to wallet credit (Wallet top up),90.97,5931.84
2023-12,Medium Transacting Categories,5451,Dairies,86.85,1972.87
2023-12,Medium Transacting Categories,7299,Miscellaneous personal services not elsewhere classified,85.48,2764.63
2023-12,Medium Transacting Categories,5813,"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",85.22,3303.45
2023-12,Medium Transacting Categories,7322,Debt collection agencies,71.57,59869.88
2023-12,Medium Transacting Categories,5137,"Mens, womens and childrens uniforms and commercial clothing",58.10,5963.70
2023-12,Medium Transacting Categories,6012,Financial institutions merchandise and services,58.04,16412.51
2023-12,Medium Transacting Categories,5422,Freezer and locker meat provisioners,56.92,1806.09
2023-12,Medium Transacting Categories,5441,"Candy, nut and confectionery shops",50.80,1035.22
2023-12,Medium Transacting Categories,5732,Electronics shops,49.16,5559.82
2023-12,All Other Categories,5499,Miscellaneous food shops convenience and speciality retail outlets,46.87,1926.47
2023-12,All Other Categories,7230,Beauty and barber shops,45.64,1435.11
2023-12,All Other Categories,9399,Government services not elsewhere classified,43.82,4983.27
2023-12,All Other Categories,6211,Securities brokers and dealers,42.68,38997.04
2023-12,All Other Categories,5921,"Package shops beer, wine and liquor",41.24,1772.32
2023-12,All Other Categories,5399,Miscellaneous general merchandise,38.08,3892.49
2023-12,All Other Categories,7399,Business services not elsewhere classified,36.74,4399.86
2023-12,All Other Categories,5691,Mens and womens clothing shops,36.63,4706.87
2023-12,All Other Categories,5943,"Stationery, office and school supply shops",34.07,960.13
2023-11,High Transacting Categories,5411,Groceries and supermarkets,1267.00,36180.22
2023-11,High Transacting Categories,5812,Eating places and restaurants,647.84,11832.39
2023-11,High Transacting Categories,5814,Fast food restaurants,564.41,7222.90
2023-11,High Transacting Categories,4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",549.29,12456.25
2023-11,High Transacting Categories,5311,Department stores,380.46,8755.82
2023-11,High Transacting Categories,5541,Service stations (with or without ancillary services),326.19,20710.18
2023-11,High Transacting Categories,5816,Digital Goods: Games,289.47,8486.20
2023-11,High Transacting Categories,5912,Drug stores and pharmacies,166.91,6397.46
2023-11,High Transacting Categories,5462,Bakeries,139.54,2199.23
2023-11,High Transacting Categories,4900,"Utilities electric, gas, water and sanitary",94.20,11143.81
2023-11,Medium Transacting Categories,5813,"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",92.10,3443.69
2023-11,Medium Transacting Categories,7299,Miscellaneous personal services not elsewhere classified,82.85,3026.75
2023-11,Medium Transacting Categories,5451,Dairies,79.99,1934.91
2023-11,Medium Transacting Categories,7322,Debt collection agencies,69.22,58929.16
2023-11,Medium Transacting Categories,6540,Debit card to wallet credit (Wallet top up),68.05,5217.95
2023-11,Medium Transacting Categories,6012,Financial institutions merchandise and services,64.87,14744.90
2023-11,Medium Transacting Categories,5137,"Mens, womens and childrens uniforms and commercial clothing",63.26,7348.08
2023-11,Medium Transacting Categories,5441,"Candy, nut and confectionery shops",48.36,1129.79
2023-11,Medium Transacting Categories,5732,Electronics shops,48.17,6224.73
2023-11,Medium Transacting Categories,5422,Freezer and locker meat provisioners,46.66,1490.06
2023-11,All Other Categories,5993,Cigar shops and stands,43.35,351.69
2023-11,All Other Categories,7230,Beauty and barber shops,42.26,1365.75
2023-11,All Other Categories,5399,Miscellaneous general merchandise,38.07,4199.51
2023-11,All Other Categories,5691,Mens and womens clothing shops,35.47,4914.66
2023-11,All Other Categories,9399,Government services not elsewhere classified,34.79,4016.81
2023-11,All Other Categories,6211,Securities brokers and dealers,34.76,30154.85
2023-11,All Other Categories,5722,Household appliance shops,33.67,3653.18
2023-11,All Other Categories,5651,Family clothing shops,33.33,2926.50
2023-11,All Other Categories,5921,"Package shops beer, wine and liquor",32.33,1355.61
2023-10,High Transacting Categories,5411,Groceries and supermarkets,1288.51,34201.73
2023-10,High Transacting Categories,5812,Eating places and restaurants,818.40,12897.01
2023-10,High Transacting Categories,4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",536.62,12031.65
2023-10,High Transacting Categories,5814,Fast food restaurants,444.47,5570.60
2023-10,High Transacting Categories,5311,Department stores,437.65,9363.45
2023-10,High Transacting Categories,5541,Service stations (with or without ancillary services),327.17,20242.04
2023-10,High Transacting Categories,5816,Digital Goods: Games,283.45,8451.03
2023-10,High Transacting Categories,5912,Drug stores and pharmacies,178.38,6618.67
2023-10,High Transacting Categories,5462,Bakeries,144.49,2069.01
2023-10,High Transacting Categories,4900,"Utilities electric, gas, water and sanitary",95.76,11949.30
2023-10,Medium Transacting Categories,5813,"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",92.27,3392.74
2023-10,Medium Transacting Categories,5451,Dairies,91.81,1897.50
2023-10,Medium Transacting Categories,7299,Miscellaneous personal services not elsewhere classified,85.89,2901.13
2023-10,Medium Transacting Categories,7322,Debt collection agencies,70.01,58951.17
2023-10,Medium Transacting Categories,6012,Financial institutions merchandise and services,66.30,14937.85
2023-10,Medium Transacting Categories,6540,Debit card to wallet credit (Wallet top up),60.72,5054.93
2023-10,Medium Transacting Categories,5137,"Mens, womens and childrens uniforms and commercial clothing",53.03,5634.86
2023-10,Medium Transacting Categories,5441,"Candy, nut and confectionery shops",50.11,916.94
2023-10,Medium Transacting Categories,5732,Electronics shops,46.97,5647.12
2023-10,Medium Transacting Categories,5422,Freezer and locker meat provisioners,46.69,1533.05
2023-10,All Other Categories,5993,Cigar shops and stands,45.25,351.31
2023-10,All Other Categories,7230,Beauty and barber shops,42.08,1291.90
2023-10,All Other Categories,5399,Miscellaneous general merchandise,40.15,4203.38
2023-10,All Other Categories,5722,Household appliance shops,40.15,4208.25
2023-10,All Other Categories,6211,Securities brokers and dealers,37.10,35766.63
2023-10,All Other Categories,5262,Online Marketplaces,36.80,4096.47
2023-10,All Other Categories,9399,Government services not elsewhere classified,33.78,3990.93
2023-10,All Other Categories,4121,Taxi-cabs and limousines,33.54,752.67
2023-10,All Other Categories,4214,"Motor freight carriers and trucking local and long distance, moving and storage companies and local delivery",33.42,3055.49
2023-09,High Transacting Categories,5411,Groceries and supermarkets,1189.43,31925.30
2023-09,High Transacting Categories,5812,Eating places and restaurants,758.52,12013.83
2023-09,High Transacting Categories,4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",536.60,11858.05
2023-09,High Transacting Categories,5814,Fast food restaurants,399.05,5024.60
2023-09,High Transacting Categories,5311,Department stores,391.83,7620.06
2023-09,High Transacting Categories,5541,Service stations (with or without ancillary services),303.45,18058.36
2023-09,High Transacting Categories,5816,Digital Goods: Games,254.64,9061.02
2023-09,High Transacting Categories,5912,Drug stores and pharmacies,164.84,6236.44
2023-09,High Transacting Categories,5462,Bakeries,134.99,1931.35
2023-09,High Transacting Categories,4900,"Utilities electric, gas, water and sanitary",88.93,11262.20
2023-09,Medium Transacting Categories,5813,"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",88.56,3255.55
2023-09,Medium Transacting Categories,5451,Dairies,84.11,1722.63
2023-09,Medium Transacting Categories,7299,Miscellaneous personal services not elsewhere classified,77.95,2634.03
2023-09,Medium Transacting Categories,6540,Debit card to wallet credit (Wallet top up),68.79,5270.40
2023-09,Medium Transacting Categories,7322,Debt collection agencies,67.42,55046.90
2023-09,Medium Transacting Categories,6012,Financial institutions merchandise and services,62.50,14768.79
2023-09,Medium Transacting Categories,5441,"Candy, nut and confectionery shops",44.94,810.80
2023-09,Medium Transacting Categories,5137,"Mens, womens and childrens uniforms and commercial clothing",42.94,4201.22
2023-09,Medium Transacting Categories,5993,Cigar shops and stands,42.76,326.22
2023-09,Medium Transacting Categories,5422,Freezer and locker meat provisioners,41.86,1350.52
2023-09,All Other Categories,5732,Electronics shops,41.01,4889.66
