period,band,mcc,description,volume_mn,value_cr
2025-06,Medium Transacting Categories,5262,Online Marketplaces,93.89,6558.75
2025-06,Medium Transacting Categories,5813,"Drinking Places (Alcoholic Beverages) Bars, Taverns, Night-Clubs, Cocktail Lounges And Discothques",86.82,3378.32
2025-06,Medium Transacting Categories,5412,Purchase Of Digital Gold,85.46,948.05
2025-06,Medium Transacting Categories,5691,Mens And Womens Clothing Shops,84.31,10383.52
2025-06,All Other Categories,5732,Electronics Shops,78.51,10436.88
2025-06,All Other Categories,7230,Beauty And Barber Shops,74.50,2061.71
2025-06,All Other Categories,7622,Electronics Repair Shops,73.64,2188.37
2025-06,All Other Categories,4112,Passenger Railways,73.27,3832.89
2025-06,All Other Categories,5137,"Mens, Womens And Childrens Uniforms And Commercial Clothing",67.06,6192.06
2025-06,All Other Categories,4121,Taxi-Cabs And Limousines,64.53,1202.33
2025-06,All Other Categories,5311,Department Stores,64.10,4084.54
2025-06,All Other Categories,5331,Variety Stores,59.18,3216.41
2025-06,All Other Categories,6211,Securities Brokers And Dealers,56.31,43986.51
2025-05,High Transacting Categories,5411,Groceries And Supermarkets,2826.09,64483.81
2025-05,High Transacting Categories,5814,Fast Food Restaurants,1160.30,14132.00
2025-05,High Transacting Categories,5812,Eating Places And Restaurants,1133.93,18755.38
2025-05,High Transacting Categories,4814,"Telecommunication Services, Including Local And Long Distance Calls, Credit Card Calls,Callsthrough Use Of Magnetic Stripe Reading Telephones And Faxes",879.66,19907.48
2025-05,High Transacting Categories,5541,Service Stations (With Or Without Ancillary Services),590.57,36592.74
2025-05,High Transacting Categories,5816,Digital Goods: Games,420.82,10634.88
2025-05,High Transacting Categories,5993,Cigar Shops And Stands,290.88,1888.90
2025-05,High Transacting Categories,5462,Bakeries,257.12,3865.32
2025-05,High Transacting Categories,5912,Drug Stores And Pharmacies,251.91,10306.01
2025-05,High Transacting Categories,4900,"Utilities Electric, Gas, Water And Sanitary",176.13,21702.00
2025-05,Medium Transacting Categories,5451,Dairies,172.62,4452.53
2025-05,Medium Transacting Categories,7322,Debt Collection Agencies,145.47,90133.03
2025-05,Medium Transacting Categories,5921,"Package Shops Beer, Wine And Liquor",141.16,6035.54
2025-05,Medium Transacting Categories,5441,"Candy, Nut And Confectionery Shops",104.43,1925.94
2025-05,Medium Transacting Categories,5422,Freezer And Locker Meat Provisioners,100.89,3360.59
2025-05,Medium Transacting Categories,9399,Government Services Not Elsewhere Classified,98.24,8821.95
2025-05,Medium Transacting Categories,5262,Online Marketplaces,90.97,6342.46
2025-05,Medium Transacting Categories,5813,"Drinking Places (Alcoholic Beverages) Bars, Taverns, Night-Clubs, Cocktail Lounges And Discothques",86.39,3409.77
2025-05,Medium Transacting Categories,5691,Mens And Womens Clothing Shops,82.55,11092.78
2025-05,Medium Transacting Categories,5412,Purchase Of Digital Gold,79.43,983.24
2025-05,All Other Categories,5732,Electronics Shops,78.81,11012.13
2025-05,All Other Categories,7230,Beauty And Barber Shops,74.89,2202.25
2025-05,All Other Categories,7622,Electronics Repair Shops,74.82,2313.50
2025-05,All Other Categories,4112,Passenger Railways,71.39,3731.24
2025-05,All Other Categories,5137,"Mens, Womens And Childrens Uniforms And Commercial Clothing",71.34,7176.69
2025-05,All Other Categories,5311,Department Stores,67.96,4525.50
2025-05,All Other Categories,4121,Taxi-Cabs And Limousines,64.09,1226.37
2025-05,All Other Categories,5331,Variety Stores,61.00,3562.05
2025-05,All Other Categories,5651,Family Clothing Shops,54.93,4900.77
2025-04,High Transacting Categories,5411,Groceries And Supermarkets,2699.03,60073.81
2025-04,High Transacting Categories,5814,Fast Food Restaurants,1104.47,13153.73
2025-04,High Transacting Categories,5812,Eating Places And Restaurants,1072.96,17279.32
2025-04,High Transacting Categories,4814,"Telecommunication Services, Including Local And Long Distance Calls, Credit Card Calls,Callsthrough Use Of Magnetic Stripe Reading Telephones And Faxes",857.14,19323.48
2025-04,High Transacting Categories,5541,Service Stations (With Or Without Ancillary Services),552.20,33921.33
2025-04,High Transacting Categories,5816,Digital Goods: Games,505.37,10530.66
2025-04,High Transacting Categories,5993,Cigar Shops And Stands,270.99,1750.68
2025-04,High Transacting Categories,5462,Bakeries,240.61,3540.67
2025-04,High Transacting Categories,5912,Drug Stores And Pharmacies,239.03,9654.27
2025-04,High Transacting Categories,5451,Dairies,172.16,4354.63
2025-04,Medium Transacting Categories,4900,"Utilities Electric, Gas, Water And Sanitary",162.21,18060.74
2025-04,Medium Transacting Categories,7322,Debt Collection Agencies,135.74,80788.65
2025-04,Medium Transacting Categories,5921,"Package Shops Beer, Wine And Liquor",109.02,4681.52
2025-04,Medium Transacting Categories,5441,"Candy, Nut And Confectionery Shops",100.88,1814.70
2025-04,Medium Transacting Categories,9399,Government Services Not Elsewhere Classified,89.50,8932.49
